TeamNumber,TeamName,Website,Youtube,Twitter,Facebook,Instagram,TBA
1816,"""The Green Machine""",https://edinarobotics.com/,https://www.youtube.com/user/1816EdinaRobotics,https://twitter.com/firstteam1816,https://www.facebook.com/Team-1816-The-Green-Machine-113912638660613/,NA,https://www.thebluealliance.com/1816
2052,KnightKrawler,https://www.team2052.com/,https://www.youtube.com/user/KK2052,https://twitter.com/team2052,https://www.facebook.com/team2052,https://www.instagram.com/team2052/,https://www.thebluealliance.com/2052
2129,Ultraviolet,https://www.swrobotics.com/,NA,https://twitter.com/swrobotics,https://www.facebook.com/SW-Robotics-363257017757341/,https://www.instagram.com/swrobotics/,https://www.thebluealliance.com/2129
2169,KING TeC,https://kingtec2169.com/,https://www.youtube.com/frc2169,https://twitter.com/frc2169,https://www.facebook.com/FRC2169/,https://www.instagram.com/kingtec2169/,https://www.thebluealliance.com/2169
2175,The Fighting Calculators,https://fightingcalculators.org/,https://www.youtube.com/user/frc2175,https://twitter.com/frc2175,https://www.facebook.com/frc2175/,https://www.instagram.com/fightingcalculators2175/,https://www.thebluealliance.com/2175
2177,The Robettes,https://www.therobettes.com/,NA,https://twitter.com/therobettes,https://www.facebook.com/therobettes/,https://www.instagram.com/frc2177therobettes/,https://www.thebluealliance.com/2177
2181,G.E.A.R.S,https://sites.google.com/view/blainefrcteam2181gears,NA,https://twitter.com/frcteam2181,NA,https://www.instagram.com/frcteam2181/,https://www.thebluealliance.com/2181
2207,Bright Bears,http://www.whitebearlakerobotics.com/,NA,https://twitter.com/Team2207,NA,NA,https://www.thebluealliance.com/2207
2220,Blue Twilight,http://team2220.org/,https://www.youtube.com/user/Team2220BlueTwilight,https://twitter.com/2220robotics,https://www.facebook.com/Eagan-High-School-First-Robotics-Team-2220-182480911786242/,https://www.instagram.com/2220bluetwilight/,https://www.thebluealliance.com/2220
2225,R.U.S.T,http://www.first2225.com/,NA,https://twitter.com/Team2225,https://www.facebook.com/RUST2225/,https://www.instagram.com/rust.2225/,https://www.thebluealliance.com/2225
2227,Tigers,https://sites.google.com/site/fridleyrobotics/home,NA,https://twitter.com/team_2227?lang=en,https://www.facebook.com/TigerRobotics2227/,https://www.instagram.com/fridleytigerrobotics/,https://www.thebluealliance.com/2227
2232,Deus ex Machina,NA,NA,NA,https://www.facebook.com/FRC2232/,https://www.instagram.com/anoka_frc_2232/?hl=en,https://www.thebluealliance.com/2232
2239,Technocrats,https://sites.google.com/view/2239/home,NA,https://twitter.com/Team2239,https://www.facebook.com/2239Technocrats/,https://www.instagram.com/frc2239/,https://www.thebluealliance.com/2239
2264,Trojan Robotics,https://wayzatarobotics2264.com/,NA,NA,https://www.facebook.com/wayzatarobotics,https://www.instagram.com/wayzatarobotics/,https://www.thebluealliance.com/2264
2450,Wind Chill,NA,NA,NA,https://www.facebook.com/pg/CDHRaiderbots/posts/?ref=page_internal,NA,https://www.thebluealliance.com/2450
2470,Team BJORG,https://www.team2470.org/,NA,https://twitter.com/teambjorg,https://www.facebook.com/TeamBJORG/,https://www.instagram.com/teambjorg/,https://www.thebluealliance.com/2470
2472,Centurions,https://sites.google.com/view/team2472robotics/home,https://www.youtube.com/channel/UClgB3Fmbcc9tpoaoolKMHsg,https://twitter.com/team_2472,NA,https://www.instagram.com/2472centurions/,https://www.thebluealliance.com/2472
2479,Pheonix,NA,NA,NA,NA,NA,https://www.thebluealliance.com/2479
2480,Roosevelt Robotics,NA,NA,https://twitter.com/rhsrobotics2480,https://www.facebook.com/RooseveltRobotics/,NA,https://www.thebluealliance.com/2480
2491,NoMythic,http://www.2491nomythic.com/,https://www.youtube.com/user/NoMthic2491,https://twitter.com/2491NoMythic,https://www.facebook.com/2491NoMythic,https://www.instagram.com/2491nomythic/?hl=en,https://www.thebluealliance.com/2491
2498,BearBotics,NA,NA,NA,NA,https://www.instagram.com/blakebearbotics/,https://www.thebluealliance.com/2498
2499,Industrial Revolution,NA,NA,https://twitter.com/hibbingfrc,https://www.facebook.com/Hibbing-FRC-Robotics-Team-2499-172934836106391/,https://www.instagram.com/frcteam2499/?hl=en,https://www.thebluealliance.com/2499
2500,Herobotics,https://herobotics.org/,https://www.youtube.com/user/Herobotics2500,https://twitter.com/FRC2500,https://www.facebook.com/2500Herobotics/,https://www.instagram.com/herobotics2500/,https://www.thebluealliance.com/2500
2501,Bionic Polars,http://www.team2501.com/,https://www.youtube.com/channel/UCBYnxa-AIjwneKbKdl6bzwQ,https://twitter.com/FRC2501,https://www.facebook.com/team2501,NA,https://www.thebluealliance.com/2501
2502,Talon Robotics,http://team2502.com/,NA,https://twitter.com/frc2502?lang=en,https://www.facebook.com/team2502/,NA,https://www.thebluealliance.com/2502
2503,Warrior Robotics,https://sites.google.com/isd181.org/team2503/home,https://www.youtube.com/channel/UC83ddnAHC1JnSCkWlbYsJvg/featured,NA,NA,https://www.instagram.com/team2503wr/?hl=en,https://www.thebluealliance.com/2503
2508,Armada,https://frc2508.org/,https://www.youtube.com/user/ArmadaRobotics,https://twitter.com/frc2508,https://www.facebook.com/FRC2508/,https://www.instagram.com/frc2508/,https://www.thebluealliance.com/2508
2509,Tigerbots,https://sites.google.com/a/isd423.org/frc2509/,NA,https://twitter.com/tigerbots2509,https://www.facebook.com/tigerbots2509,NA,https://www.thebluealliance.com/2509
2511,Cougars,https://lshsrobotics.wixsite.com/cougars-frc,NA,https://twitter.com/frcteam2511,NA,NA,https://www.thebluealliance.com/2511
2512,Duluth East Daredevils,https://daredevils2512.org/,https://www.youtube.com/channel/UCuZ2AjvVFjU7kajfJTL-5NQ,https://twitter.com/FRC2512,https://www.facebook.com/Daredevils2512/,https://www.instagram.com/frc2512/,https://www.thebluealliance.com/2512
2513,TERTOLA,NA,NA,NA,NA,NA,https://www.thebluealliance.com/2513
